labels	key_words	review
3food	food	It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.
2place	place	It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.
3staff	staff	Hostess was extremely accommodating when we arrived an hour early for our reservation.
2miscellaneous	miscellaneous	Hostess was extremely accommodating when we arrived an hour early for our reservation.
2miscellaneous	miscellaneous	We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.
1staff	staff	We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.
1service	service	Though the service might be a little slow, the waitresses are very friendly.
3staff	staff	Though the service might be a little slow, the waitresses are very friendly.
1staff	staff	Although we arrived at the restaurant 10 min late, the hostess did not have a table for us.
2miscellaneous	miscellaneous	Although we arrived at the restaurant 10 min late, the hostess did not have a table for us.
1miscellaneous	miscellaneous	I like the smaller portion size for dinner.
2food	food	I like the smaller portion size for dinner.
2food	food	The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.
3price	price	The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.
2miscellaneous	miscellaneous	The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.
1miscellaneous	miscellaneous	) other food is served in too-small portions, but at least it leaves room for dessert.
2food	food	) other food is served in too-small portions, but at least it leaves room for dessert.
2miscellaneous	miscellaneous	It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.
1staff	staff	It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.
2food	food	After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates.
3miscellaneous	miscellaneous	After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates.
3miscellaneous	miscellaneous	Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.
3staff	staff	Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.
2food	food	Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.
1food	food	I had to ask for bread for the table (several times).
2miscellaneous	miscellaneous	I had to ask for bread for the table (several times).
2food	food	Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.
3miscellaneous	miscellaneous	Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.
1service	service	After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.
3staff	staff	After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.
1staff	staff	I was told by the hostess that a specific table would be mine once the customers left and I waited 45 minutes for that to happen.
2miscellaneous	miscellaneous	I was told by the hostess that a specific table would be mine once the customers left and I waited 45 minutes for that to happen.
2food	food	Towards the end of our meal, a server came out, apparently our orders had been double-filled.
1staff	staff	Towards the end of our meal, a server came out, apparently our orders had been double-filled.
