labels,key_words,review
RESTAURANT,1 place,"Judging from previous posts this used to be a good place, but not any longer."
GENERAL,1 place,"Judging from previous posts this used to be a good place, but not any longer."
SERVICE,1 staff,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude."
GENERAL,1 staff,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude."
SERVICE,1 NEG,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table."
GENERAL,1 NEG,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table."
FOOD,1 food,The food was lousy - too sweet or too salty and the portions tiny.
QUALITY,1 food,The food was lousy - too sweet or too salty and the portions tiny.
SERVICE,1 NEG,"After all that, they complained to me about the small tip."
GENERAL,1 NEG,"After all that, they complained to me about the small tip."
RESTAURANT,1 place,Avoid this place!
GENERAL,1 place,Avoid this place!
FOOD,3 food,"I have eaten at Saul, many times, the food is always consistently, outrageously good."
QUALITY,3 food,"I have eaten at Saul, many times, the food is always consistently, outrageously good."
RESTAURANT,3 Saul,Saul is the best restaurant on Smith Street and in Brooklyn.
GENERAL,3 Saul,Saul is the best restaurant on Smith Street and in Brooklyn.
FOOD,3 foie gras terrine with figs,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
QUALITY,3 foie gras terrine with figs,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
DRINKS,3 wine list,The wine list is interesting and has many good values.
STYLE_OPTIONS,3 wine list,The wine list is interesting and has many good values.
RESTAURANT,3 NEG,"For the price, you cannot eat this well in Manhattan."
PRICES,3 NEG,"For the price, you cannot eat this well in Manhattan."
RESTAURANT,1 restaurant,I was very disappointed with this restaurant.
GENERAL,1 restaurant,I was very disappointed with this restaurant.
SERVICE,1 cart attendant,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
GENERAL,1 cart attendant,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
SERVICE,1 NEG,I had to ask her three times before she finally came back with the dish Ive requested.
GENERAL,1 NEG,I had to ask her three times before she finally came back with the dish Ive requested.
FOOD,2 Food,"Food was okay, nothing great."
QUALITY,2 Food,"Food was okay, nothing great."
FOOD,1 Chow fun,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
QUALITY,1 Chow fun,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
RESTAURANT,1 place,I/we will never go back to this place again.
GENERAL,1 place,I/we will never go back to this place again.
RESTAURANT,3 Fish,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!"
GENERAL,3 Fish,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!"
SERVICE,3 Service,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
GENERAL,3 Service,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
RESTAURANT,3 NEG,You can't go wrong here.
GENERAL,3 NEG,You can't go wrong here.
RESTAURANT,3 Restaurant Saul,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
GENERAL,3 Restaurant Saul,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
FOOD,3 NEG,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
QUALITY,3 NEG,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
FOOD,3 duck breast special,I had the duck breast special on my last visit and it was incredible.
QUALITY,3 duck breast special,I had the duck breast special on my last visit and it was incredible.
RESTAURANT,3 NEG,Can't wait wait for my next visit.
GENERAL,3 NEG,Can't wait wait for my next visit.
RESTAURANT,1 NEG,And I hate to say this but I doubt I'll ever go back. 
GENERAL,1 NEG,And I hate to say this but I doubt I'll ever go back. 
FOOD,1 food,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
QUALITY,1 food,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
FOOD,3 Grilled Chicken special with Edamame Puree,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
QUALITY,3 Grilled Chicken special with Edamame Puree,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
FOOD,3 Edamame pureed,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
QUALITY,3 Edamame pureed,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
AMBIENCE,1 place,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
GENERAL,1 place,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
DRINKS,3 sake list,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
STYLE_OPTIONS,3 sake list,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
FOOD,3 spicy tuna roll,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
QUALITY,3 spicy tuna roll,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
SERVICE,3 service,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
GENERAL,3 service,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
RESTAURANT,3 pink pony,we love th pink pony.
GENERAL,3 pink pony,we love th pink pony.
RESTAURANT,3 spot,THe perfect spot.
GENERAL,3 spot,THe perfect spot.
FOOD,3 Food,Food-awesome.
QUALITY,3 Food,Food-awesome.
SERVICE,3 Service,Service- friendly and attentive.
GENERAL,3 Service,Service- friendly and attentive.
AMBIENCE,3 Ambiance,Ambiance- relaxed and stylish.
GENERAL,3 Ambiance,Ambiance- relaxed and stylish.
RESTAURANT,3 place,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart."
GENERAL,3 place,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart."
FOOD,2 food,the food is decent.
QUALITY,2 food,the food is decent.
SERVICE,1 service,"however, it's the service that leaves a bad taste in my mouth."
GENERAL,1 service,"however, it's the service that leaves a bad taste in my mouth."
