质量不错	大小合适 手感和质量不错 适合贴身穿 膝盖位置是加厚的 给家里老人买的 号码可以 不大不小的 挺好
老人 	大小合适 手感和质量不错 适合贴身穿 膝盖位置是加厚的 给家里老人买的 号码可以 不大不小的 挺好
一分货 	一分钱的一分货 就这还南极人 给南极人品牌砸门呢
到内衣	这竟然薄到跟内衣内裤一个厚度 我买的不是棉裤么
厚度 	这竟然薄到跟内衣内裤一个厚度 我买的不是棉裤么
到位款式	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
大方面	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
薄厚程度	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
购买产品	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
推荐产品	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
收到质量	东西已收到质量很好穿着很舒服很合身物流也很快非常满意的一次购物
合身物流	东西已收到质量很好穿着很舒服很合身物流也很快非常满意的一次购物
棉质 	棉质 吸汗 透比较好 颜色和号码都很合心 以后还会买的
物美价廉是纯棉衣服	物美价廉是纯棉的衣服
保暖内衣	恒源祥保暖内衣质量杠杠的 穿着舒服又保暖 颜值啥的都很满意 比较开心的一次网购体验 哈哈
体验 	恒源祥保暖内衣质量杠杠的 穿着舒服又保暖 颜值啥的都很满意 比较开心的一次网购体验 哈哈
面料厚实	面料厚实 手感好 绒密实 保暖 做工精细 穿上舒服 随性
手感好	面料厚实 手感好 绒密实 保暖 做工精细 穿上舒服 随性
好不好 大家图 	好不好 大家看图 因为相信京东 所以买回来岔拆开也没细看 结果今天一穿就这样 差评 差评
橡皮筋很松某夕多差不多	橡皮筋很松跟某夕买的多的差不多
穿起来很舒服 	穿起来很舒服 也很合适
质量杠杠 好品牌	质量杠杠的 好品牌一如既往的好 穿着舒适 适合各类运动 强烈推荐
面料不薄不厚	面料不薄不厚 穿着贴身舒适 穿在身上没有一点的不适 款式也很好 这次买的即没掉色又便宜
款式很好	面料不薄不厚 穿着贴身舒适 穿在身上没有一点的不适 款式也很好 这次买的即没掉色又便宜
这太差谁谁后悔	这也太差了谁买谁后悔前车之鉴别怪没有提醒
物流很快穿着	衣服挺合身颜色也可以物流也很快穿着也很舒适
做工质量	做工质量不过关
太薄 保暖效果不	太薄了 保暖效果不咋地
一套很好看衣服 	一套很好看的衣服 比较满意
衣服偏薄 就加个	衣服偏薄 就加了个绒
短袖收到 真的很	短袖收到了 真的很不多 很喜欢
内裤太小太紧不宽松	内裤太小太紧不宽松
质量挺好	质量挺好的
面料柔软	面料柔软上身效果好特别舒适吸汗透气身材适合
吸汗透气	面料柔软上身效果好特别舒适吸汗透气身材适合
身材适合	面料柔软上身效果好特别舒适吸汗透气身材适合
东西收到 效果很	东西收到了 效果很不错
好看 穿着很舒服	好看 穿着很舒服 很合适 还会继续买
质量一般	质量一般 做工较粗糙
看着衣服行 穿后	看着衣服还行 穿后再来追评
质量杠杠 穿上	质量杠杠的 穿上非常非常非常凉快
物流很快 	物流很快 并且上门换货 服务很到位 京东值得信赖 恒源祥 大品牌值得信赖
质量非常好	质量非常好 与卖家描述的完全一致 很喜欢 非常满意的一次购物
