labels,key_words,review
food,3 place staff price menu ambience food miscellaneous service,"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you."
place,2 place staff price menu ambience food miscellaneous service,"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you."
staff,3 place staff price menu ambience food miscellaneous service,Hostess was extremely accommodating when we arrived an hour early for our reservation.
miscellaneous,2 place staff price menu ambience food miscellaneous service,Hostess was extremely accommodating when we arrived an hour early for our reservation.
miscellaneous,2 place staff price menu ambience food miscellaneous service,"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess."
staff,1 place staff price menu ambience food miscellaneous service,"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess."
service,1 place staff price menu ambience food miscellaneous service,"Though the service might be a little slow, the waitresses are very friendly."
staff,3 place staff price menu ambience food miscellaneous service,"Though the service might be a little slow, the waitresses are very friendly."
staff,1 place staff price menu ambience food miscellaneous service,"Although we arrived at the restaurant 10 min late, the hostess did not have a table for us."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"Although we arrived at the restaurant 10 min late, the hostess did not have a table for us."
miscellaneous,1 place staff price menu ambience food miscellaneous service,I like the smaller portion size for dinner.
food,2 place staff price menu ambience food miscellaneous service,I like the smaller portion size for dinner.
food,2 place staff price menu ambience food miscellaneous service,"The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table."
price,3 place staff price menu ambience food miscellaneous service,"The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table."
miscellaneous,1 place staff price menu ambience food miscellaneous service,") other food is served in too-small portions, but at least it leaves room for dessert."
